enterprise_id,as_of,code,name,severity,audience,message_en,message_hi,action_en,action_hi
1,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
2,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
4,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
6,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
8,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
9,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
9,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
10,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
12,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
14,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
14,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
14,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
14,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
15,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
15,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
15,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
16,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
16,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
16,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
17,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
