enterprise_id,as_of,mira_score,band,stress_prob_3m,s1_cashflow,s2_repayment,s3_digital,s4_market,s5_climate,savings_balance,drivers_json
1,2026-06,66.8,amber,0.0383,78.0,100.0,31.8,38.7,36.9,130110,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 1.151}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.0131}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 0.4833}]"
2,2026-06,74.0,green,0.0572,76.3,100.0,30.1,38.7,61.3,124128,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.3717}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.2147}, {""feature"": ""txn_value_index"", ""label_en"": ""Digital sales value"", ""label_hi"": ""डिजिटल बिक्री"", ""direction"": ""down"", ""magnitude"": 0.8177}]"
3,2026-06,77.5,green,0.0404,82.2,100.0,22.8,38.7,66.1,152285,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 2.9187}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.3137}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.0066}]"
4,2026-06,98.0,green,0.0306,74.3,100.0,100.0,38.7,61.3,124303,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.614}, {""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""down"", ""magnitude"": 1.5851}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.058}]"
5,2026-06,77.7,green,0.0917,82.3,100.0,23.2,38.7,66.1,88415,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.8639}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 1.7831}, {""feature"": ""net_cf_lag2"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.7293}]"
6,2026-06,77.5,green,0.0906,82.8,100.0,26.4,38.7,61.3,115784,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.9194}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.8331}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 1.8136}]"
7,2026-06,68.0,amber,0.0745,62.6,94.2,46.3,38.7,66.1,57338,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.8205}, {""feature"": ""rain_dev"", ""label_en"": ""Rainfall deficit"", ""label_hi"": ""बारिश की कमी"", ""direction"": ""down"", ""magnitude"": 0.7368}, {""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""up"", ""magnitude"": 0.649}]"
8,2026-06,82.7,green,0.0871,83.3,100.0,39.4,38.7,61.3,59062,"[{""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""down"", ""magnitude"": 3.6569}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 3.613}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.927}]"
9,2026-06,59.4,amber,0.056,80.7,100.0,6.8,38.7,36.9,114542,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 1.2195}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 0.9044}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 0.6281}]"
10,2026-06,83.5,green,0.1075,83.1,100.0,41.9,38.7,61.3,87647,"[{""feature"": ""net_cf_lag2"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 2.4543}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 2.2149}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 2.1312}]"
